color,x,y
aqua,0.2858,0.2747
beige,0.3402,0.356
blue,0.168,0.041
blue_violet,0.251,0.1056
coral,0.5763,0.3486
cornsilk,0.3511,0.3574
crimson,0.6417,0.304
cyan,0.2858,0.2747
dark_green,0.408,0.517
dark_magenta,0.3824,0.1601
dark_orange,0.5916,0.3824
dark_red,0.674,0.322
dark_sea_green,0.3429,0.3879
deep_sky_blue,0.2428,0.1893
floral_white,0.3361,0.3388
fuchsia,0.3824,0.1601
ghost_white,0.3174,0.3207
gold,0.4859,0.4599
green,0.408,0.517
hot_pink,0.4682,0.2452
indigo,0.2437,0.0895
ivory,0.3334,0.3455
light_green,0.3682,0.438
light_sky_blue,0.2714,0.246
lime,0.408,0.517
magenta,0.3824,0.1601
turquoise,0.2937,0.2903
olive,0.4317,0.4996
orange,0.5562,0.4084
purple,0.2725,0.1096
red,0.674,0.322
royal_blue,0.2047,0.1138
salmon,0.5346,0.3247
seashell,0.3397,0.3353
sky_blue,0.2807,0.2645
spring_green,0.3882,0.4777
wheat,0.3852,0.3737
white,0.3227,0.329
white_smoke,0.3227,0.4996
yellow,0.4317,0.4996
yellow_green,0.408,0.517